name,id,lat,lon,adm_level,state_filter
Al Leri,150,10.130087,30.837483,Locality,South Kordofan
Al Meiram,151,10.183227,27.701045,Locality,West Kordofan
Al Quoz,152,12.46781,29.924219,Locality,South Kordofan
An Nuhud,153,13.165317,28.3054,Locality,West Kordofan
As Salam - WK,154,11.304914,28.217431,Locality,West Kordofan
Babanusa,155,11.323818,27.590653,Locality,West Kordofan
Delami,156,11.640414,30.325102,Locality,South Kordofan
Dilling,157,11.931878,29.526205,Locality,South Kordofan
Gebrat Al Sheikh,158,15.403081,30.910448,Locality,North Kordofan
Ghadeer,159,10.705333,31.107582,Locality,South Kordofan
Gharb Bara,160,13.924252,29.676256,Locality,North Kordofan
Ghubaish,161,12.29314,27.493797,Locality,West Kordofan
Habila - SK,162,11.983229,30.059404,Locality,South Kordofan
Kadugli,163,11.061683,29.582842,Locality,South Kordofan
Keilak,164,10.60813,29.315316,Locality,West Kordofan
Sheikan,165,13.074924,30.061859,Locality,North Kordofan
Soudari,166,15.376297,28.509012,Locality,North Kordofan
Talawdi,167,10.555725,30.405758,Locality,South Kordofan
Um Dam Haj Ahmed,168,13.669057,30.824667,Locality,North Kordofan
Um Rawaba,169,13.155361,31.372576,Locality,North Kordofan
Wad Bandah,170,13.212707,27.716197,Locality,West Kordofan
Al Wihda,171,12.863599,24.983601,Locality,South Darfur
At Tawisha,172,12.503779,26.59213,Locality,North Darfur
At Tina,173,15.167895,23.127019,Locality,North Darfur
Mershing,174,12.553172,24.982087,Locality,South Darfur
Kutum,175,14.514787,24.700321,Locality,North Darfur
Melit,176,14.272746,26.134034,Locality,North Darfur
Tawila,177,13.351266,24.856704,Locality,North Darfur
Um Kadadah,178,13.487833,26.880716,Locality,North Darfur
Nyala Janoub,179,12.022886,24.825308,Locality,South Darfur
Al Radoum,180,9.704639,24.238636,Locality,South Darfur
Beliel,181,11.948623,25.132568,Locality,South Darfur
Tulus,182,11.233746,24.946552,Locality,South Darfur
Damso,183,10.778127,24.514846,Locality,South Darfur
Rehaid Albirdi,184,11.01135,23.560735,Locality,South Darfur
Gereida,185,11.133086,25.368702,Locality,South Darfur
Nitega,186,12.57805,25.271605,Locality,South Darfur
Kulbus,187,14.51589,22.711433,Locality,West Darfur
Um Dafoug,188,10.553461,23.76361,Locality,South Darfur
Ar Reif Ash Shargi,189,11.260003,29.853661,Locality,South Kordofan
Azum,190,12.882062,23.02057,Locality,Central Darfur
Habila - WD,191,12.67591,22.45467,Locality,West Darfur
Kereneik,192,13.330925,22.821153,Locality,West Darfur
Sirba,193,13.815601,22.44664,Locality,West Darfur
