origin,dest,count,year
17,58,94,2026
1,97,70,2026
7,97,13388,2026
9,97,2170,2026
7,98,5900,2026
9,98,2455,2026
17,98,198,2026
7,99,5763,2026
9,99,3499,2026
11,99,10,2026
12,99,5,2026
14,99,5,2026
15,99,50,2026
17,99,1650,2026
18,99,5,2026
2,100,176,2026
3,100,756,2026
4,100,61,2026
7,100,6152,2026
8,100,3667,2026
9,100,50421,2026
14,100,614,2026
15,100,26440,2026
16,100,235,2026
17,100,11140,2026
18,100,150,2026
7,101,2938,2026
9,101,1030,2026
7,102,12089,2026
9,102,200,2026
1,103,5,2026
2,103,297,2026
5,103,20,2026
7,103,12702,2026
9,103,9183,2026
15,103,11970,2026
17,103,135,2026
1,104,3465,2026
3,104,180,2026
7,104,57995,2026
8,104,40228,2026
9,104,11761,2026
13,104,334,2026
14,104,5,2026
15,104,1005,2026
16,104,50,2026
17,104,432,2026
1,105,1467,2026
7,105,27757,2026
8,105,609,2026
9,105,175,2026
13,105,50,2026
15,105,3947,2026
16,105,55,2026
17,105,15,2026
18,105,5,2026
1,106,901,2026
7,106,43798,2026
8,106,1055,2026
9,106,652,2026
13,106,110,2026
14,106,5,2026
18,106,105,2026
1,107,1065,2026
5,107,95,2026
7,107,29874,2026
8,107,358,2026
9,107,691,2026
10,107,475,2026
12,107,10,2026
13,107,446,2026
14,107,54,2026
15,107,5,2026
17,107,15,2026
18,107,55,2026
1,108,7481,2026
6,108,5,2026
7,108,63265,2026
8,108,2620,2026
9,108,2110,2026
10,108,342,2026
13,108,1681,2026
14,108,5,2026
15,108,90,2026
16,108,125,2026
17,108,10,2026
18,108,165,2026
1,109,4995,2026
5,109,285,2026
6,109,250,2026
7,109,33572,2026
8,109,715,2026
9,109,360,2026
10,109,1879,2026
12,109,10,2026
13,109,2185,2026
14,109,375,2026
18,109,90,2026
1,110,498,2026
7,110,98795,2026
8,110,430,2026
9,110,88,2026
10,110,2180,2026
13,110,390,2026
11,111,99,2026
1,112,30,2026
7,112,5,2026
11,112,1117,2026
13,112,5,2026
1,113,190,2026
2,113,10,2026
7,113,665,2026
8,113,15,2026
11,113,855,2026
13,113,145,2026
14,113,10,2026
18,113,10,2026
7,114,102,2026
9,114,20,2026
11,114,273,2026
15,114,5,2026
1,115,475,2026
2,115,185,2026
3,115,10,2026
5,115,40,2026
7,115,650,2026
8,115,30,2026
11,115,2640,2026
13,115,220,2026
15,115,5,2026
16,115,5,2026
11,116,196,2026
1,117,3276,2026
2,117,102,2026
3,117,62,2026
4,117,145,2026
5,117,130,2026
6,117,16,2026
7,117,38383,2026
8,117,9402,2026
9,117,6518,2026
11,117,11128,2026
12,117,120,2026
13,117,2188,2026
14,117,2656,2026
15,117,4335,2026
16,117,137,2026
17,117,815,2026
18,117,237,2026
1,118,50,2026
3,118,5,2026
7,118,314,2026
8,118,79,2026
9,118,62,2026
10,118,5,2026
11,118,370,2026
13,118,20,2026
14,118,16,2026
1,119,365,2026
2,119,15,2026
3,119,25,2026
4,119,5,2026
7,119,2121,2026
8,119,522,2026
9,119,315,2026
11,119,592,2026
13,119,55,2026
14,119,70,2026
15,119,14,2026
16,119,15,2026
17,119,30,2026
18,119,15,2026
1,120,10,2026
7,120,35,2026
8,120,75,2026
9,120,5,2026
11,120,5985,2026
13,120,55,2026
14,120,5,2026
15,120,5,2026
18,120,20,2026
1,121,2756,2026
7,121,40705,2026
8,121,879,2026
9,121,160,2026
12,121,1660,2026
13,121,130,2026
15,121,40,2026
18,121,30,2026
1,122,320,2026
3,122,73,2026
4,122,68,2026
7,122,46940,2026
8,122,1740,2026
9,122,879,2026
12,122,1745,2026
13,122,85,2026
14,122,75,2026
15,122,45,2026
7,123,2220,2026
9,123,10,2026
1,124,1652,2026
3,124,75,2026
4,124,5,2026
