name,id,code,lat,lon,adm_level,state_filter
Habila - WD,173,SD04122,12.67591,22.45467,Locality,West Darfur
Jebel Moon,174,SD04123,14.057811,22.878224,Locality,West Darfur
Kereneik,175,SD04125,13.330925,22.821153,Locality,West Darfur
Kulbus,176,SD04127,14.51589,22.711433,Locality,West Darfur
Sirba,177,SD04134,13.815601,22.44664,Locality,West Darfur
Abu Zabad,178,SD18028,12.645239,29.306019,Locality,West Kordofan
Abyei,179,SD18087,10.833424,27.684931,Locality,West Kordofan
Al Dibab,180,SD18103,10.305377,28.746786,Locality,West Kordofan
Al Idia,181,SD18104,11.93892,27.906768,Locality,West Kordofan
Al Khiwai,182,SD18105,13.301541,28.995984,Locality,West Kordofan
Al Lagowa,183,SD18102,11.353771,28.947703,Locality,West Kordofan
Al Meiram,184,SD18106,10.183227,27.701045,Locality,West Kordofan
An Nuhud,185,SD18022,13.165317,28.3054,Locality,West Kordofan
As Salam - WK,186,SD18086,11.304914,28.217431,Locality,West Kordofan
As Sunut,187,SD18092,12.025664,28.908089,Locality,West Kordofan
Babanusa,188,SD18100,11.323818,27.590653,Locality,West Kordofan
Ghubaish,189,SD18021,12.29314,27.493797,Locality,West Kordofan
Keilak,190,SD18085,10.60813,29.315316,Locality,West Kordofan
Wad Bandah,191,SD18029,13.212707,27.716197,Locality,West Kordofan
Ad Diwaim,192,SD09044,13.968012,31.981474,Locality,White Nile
Aj Jabalain,193,SD09051,12.674495,32.967693,Locality,White Nile
Al Gitaina,194,SD09050,14.472854,32.375079,Locality,White Nile
As Salam / Ar Rawat,195,SD09049,12.369001,32.309445,Locality,White Nile
Guli,196,SD09052,13.322783,32.408424,Locality,White Nile
Kosti,197,SD09047,12.896885,32.66677,Locality,White Nile
Rabak,198,SD09046,13.405578,32.780542,Locality,White Nile
Tendalti,199,SD09048,12.967541,32.027342,Locality,White Nile
Um Rimta,200,SD09045,14.593573,31.936371,Locality,White Nile
Khartoum,201,SD01007,15.552506,32.561114,Locality,Khartoum
Reifi Gharb Kassala,202,SD11054,15.312026,36.092712,Locality,Kassala
At Tina,203,SD02171,15.167895,23.127019,Locality,North Darfur
